id,parent_id,name_de,abbr_de,name_fr,abbr_fr,name_it,abbr_it,name_en,abbr_en
50000000@12.03,10000030,Eidgenössisches Institut für Metrologie,,Eidgenössisches Institut für Metrologie,,Eidgenössisches Institut für Metrologie,,,
10000034,10000031,Eidgenössisches Personalamt,EPA,Office fédéral du personnel,OFPER,Ufficio federale del personale,UFPER,,
10008603,10000031,Generalsekretariat EFD,GS-EFD,Secrétariat général DFF,SG-DFF,Segreteria generale DFF,SG-DFF,,
10008657,10000031,Eidgenössische Finanzverwaltung,,Administration fédérale des finances,,Amministrazione federale delle finanze,,,
10008659,10000031,Bundesamt für Zoll und Grenzsicherheit,BAZG,Office fédéral de la douane et de la sécurité des frontières,OFDF,Ufficio federale della dogana e della sicurezza dei confini,UDSC,Federal Office for Customs and Border Security,FOCBS
10008668,10000031,Eidgenössische Steuerverwaltung,ESTV,Administration fédérale des contributions,AFC,Amministrazione federale delle contribuzioni,AFC,,
10008669,10000031,Bundesamt für Informatik und Telekommunikation,BIT,Office fédéral de l’informatique et de la télécommunication,OFIT,Ufficio federale dell'informatica e della telecomunicazione,UFIT,,
10008670,10000031,Bundesamt für Bauten und Logistik,BBL,Office fédéral des constructions et de la logistique,OFCL,Ufficio federale delle costruzioni e della logistica,UFCL,,
10008752,10000031,Eidgenössische Finanzkontrolle,EFK,Contrôle fédéral des finances,CDF,Controllo federale delle finanze,CDF,,
10@11.02,10000031,Pensionskasse PUBLICA,PUBLICA,Pensionskasse PUBLICA,PUBLICA,Pensionskasse PUBLICA,PUBLICA,,
20025051,10000031,Staatssekretariat für internationale Finanzfragen,SIF,Secrétariat d'Etat aux questions financières internationales,SFI,Segreteria di Stato per le questioni finanziarie internazionali,SFI,,
20034128@12.02,10000031,Eidgenössische Finanzmarktaufsicht,FINMA,Autorité fédérale de surveillance des marchés financiers,FINMA,Autorità federale di vigilanza sui mercati finanziari,FINMA,,
10002651,10000032,Generalsekretariat WBF,GS-WBF,Secrétariat général du DEFR,GS-WBF,Segreteria generale DEFR,GS-WBF,,
10008654,10000032,Bundesamt für Landwirtschaft,BLW,Office fédéral de l'agriculture,OFAG,Ufficio federale dell'agricoltura,UFAG,Bundesamt für Landwirtschaft,FOAG
10008656,10000032,Bundesamt für Zivildienst,ZIVI,Office fédéral du service civil,CIVI,Ufficio federale del servizio civile,CIVI,,
10008673,10000032,Bundesamt für wirtschaftliche Landesversorgung,BWL,Office fédéral pour l'approvisionnement économique du pays,OFAE,Ufficio federale per l'approvvigionamento economico del Paese,UFAE,,
10008674,10000032,Bundesamt für Wohnungswesen,BWO,Office fédéral du logement,OFL,Ufficio federale delle abitazioni,UFAB,,
10008676,10000032,Wettbewerbskommission,WEKO,Commission de la concurrence,WEKO,Commissione della concorrenza,WEKO,,
10008856,10000032,Staatssekretariat für Wirtschaft,SECO,Secrétariat d'Etat à l'économie,SECO,Segreteria di Stato dell'economia,SECO,,
12090100@12.09,10000032,Eidgenössische Hochschule für Berufsbildung,EHB,Haute école fédérale en formation professionnelle,HEFP,Scuola universitaria federale per la formazione professionale,SUFFP,,
20033802,10000032,"Staatssekretariat für Bildung, Forschung und Innovation",SBFI,"Secrétariat d'Etat à la formation, à la recherche et à l'innovation",SEFRI,"Segreteria di Stato per la formazione, la ricerca e l'innovazione",SEFRI,,
20035551@10.05,10000032,Innosuisse,Innosuisse,Innosuisse,Innosuisse,Innosuisse,Innosuisse,,
10008753,10000033,Bundesamt für Verkehr,BAV,Office fédéral des transports,OFT,Ufficio federale dei trasporti,UFT,,
10008754,10000033,Bundesamt für Zivilluftfahrt,BAZL,Office fédéral de l'aviation civile,OFAC,Ufficio federale dell'aviazione civile,UFAC,Bundesamt für Zivilluftfahrt,FOCA
10008757,10000033,Bundesamt für Kommunikation,BAKOM,Office fédéral de la communication,OFCOM,Ufficio federale delle comunicazioni,UFCOM,,
10008758,10000033,Bundesamt für Umwelt BAFU,BAFU,Office fédéral de l'environnement OFEV,OFEV,Ufficio federale dell'ambiente UFAM,UFAM,,
10008759,10000033,Bundesamt für Strassen,ASTRA,Office fédéral des routes,OFROU,Ufficio federale delle strade,USTRA,,
10008848,10000033,Generalsekretariat UVEK,GS-UVEK,Secrétariat général DETEC,SG-DETEC,Segreteria generale DATEC,SG-DATEC,,
10009450,10000033,Bundesamt für Raumentwicklung,ARE,Office fédéral du développement territorial,ARE,Ufficio federale dello sviluppo territoriale,ARE,,
20004794,10000033,Bundesamt für Energie,BFE,Office fédéral de l'énergie,OFEN,Ufficio federale dell'energia,UFE,Bundesamt für Energie,SFOE
20030368,10000033,Schweizerische Sicherheitsuntersuchungsstelle,SUST,Service suisse d’enquête de sécurité,SUST,Servizio d inchiesta svizzero sulla sicurezza,SUST,,
20030369,10000033,Regulierungsbehörden Infrastruktur,RegInfra,Autorités de régulation des infrastructures,RegInfra,Autorità di regolazione delle infrastrutture,RegInfra,,
